feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_95475,0,95475,entity: A famous painting is Campbell's Soup Cans, painting,5,78.08279418945312,0.6417643834007342,semantic,"[{""token"": "" painting"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,paintings,"[{""tk"": ""paintings"", ""act"": 87.22464752197266}, {""tk"": ""painting"", ""act"": 78.08279418945312}, {""tk"": ""artworks"", ""act"": 77.66210174560547}, {""tk"": ""painter"", ""act"": 72.56603240966797}, {""tk"": ""Campbell"", ""act"": 66.63311767578125}, {""tk"": ""name"", ""act"": 51.99420166015625}, {""tk"": ""creates"", ""act"": 48.34333801269531}, {""tk"": ""Soup"", ""act"": 42.94403839111328}, {""tk"": ""Andy"", ""act"": 32.03594207763672}, {""tk"": ""called"", ""act"": 31.9904842376709}, {""tk"": ""Warhol"", ""act"": 30.69240379333496}, {""tk"": ""first"", ""act"": 21.10489845275879}, {""tk"": ""Cans"", ""act"": 12.282405853271484}, {""tk"": ""A"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""s"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""and"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_3829,0,3829,entity: A famous painting is Campbell's Soup Cans,',8,57.90262985229492,0.9090909090909092,functional,"[{""token"": "" Soup"", ""index"": 10, ""distance"": 2, ""direction"": ""forward""}, {""token"": "" Campbell"", ""index"": 7, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""A"", ""act"": 0.0}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Campbell"", ""act"": 0.0}, {""tk"": ""s"", ""act"": 0.0}, {""tk"": ""Soup"", ""act"": 0.0}, {""tk"": ""Cans"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Andy"", ""act"": 0.0}, {""tk"": ""Warhol"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""and"", ""act"": 0.0}, {""tk"": ""artworks"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_39122,0,39122,entity: A famous painting is Campbell's Soup Cans,:,2,55.24455642700195,0.7732597288806574,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""and"", ""act"": 50.3748664855957}, {""tk"": ""of"", ""act"": 42.099979400634766}, {""tk"": ""a"", ""act"": 39.36964416503906}, {""tk"": ""s"", ""act"": 37.92283630371094}, {""tk"": ""the"", ""act"": 27.90477752685547}, {""tk"": ""Andy"", ""act"": 7.611330509185791}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Campbell"", ""act"": 0.0}, {""tk"": ""Soup"", ""act"": 0.0}, {""tk"": ""Cans"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Warhol"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""artworks"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_6498,0,6498,entity: A famous painting is Campbell's Soup Cans,s,9,54.01292037963867,0.9090909090909092,functional,"[{""token"": "" Soup"", ""index"": 10, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,s,"[{""tk"": ""s"", ""act"": 54.01292037963867}, {""tk"": ""A"", ""act"": 0.0}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Campbell"", ""act"": 0.0}, {""tk"": ""Soup"", ""act"": 0.0}, {""tk"": ""Cans"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Andy"", ""act"": 0.0}, {""tk"": ""Warhol"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""and"", ""act"": 0.0}, {""tk"": ""artworks"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_18753,0,18753,entity: A famous painting is Campbell's Soup Cans,:,2,51.97818756103516,0.7088101676589152,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""a"", ""act"": 50.157127380371094}, {""tk"": ""and"", ""act"": 46.655479431152344}, {""tk"": ""of"", ""act"": 46.549560546875}, {""tk"": ""is"", ""act"": 45.46295166015625}, {""tk"": ""the"", ""act"": 45.0550422668457}, {""tk"": ""s"", ""act"": 26.27635383605957}, {""tk"": ""their"", ""act"": 23.47272300720215}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""Campbell"", ""act"": 0.0}, {""tk"": ""Soup"", ""act"": 0.0}, {""tk"": ""Cans"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Andy"", ""act"": 0.0}, {""tk"": ""Warhol"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""artworks"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}]"
0_230,0,230,entity: A famous painting is Campbell's Soup Cans, is,6,49.8835563659668,0.9090909090909092,functional,"[{""token"": "" Campbell"", ""index"": 7, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 49.8835563659668}, {""tk"": ""A"", ""act"": 0.0}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""Campbell"", ""act"": 0.0}, {""tk"": ""s"", ""act"": 0.0}, {""tk"": ""Soup"", ""act"": 0.0}, {""tk"": ""Cans"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Andy"", ""act"": 0.0}, {""tk"": ""Warhol"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""and"", ""act"": 0.0}, {""tk"": ""artworks"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_54198,0,54198,entity: A famous painting is Campbell's Soup Cans, A,3,47.80646514892578,0.9090909090909092,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,The,"[{""tk"": ""The"", ""act"": 58.90498733520508}, {""tk"": ""A"", ""act"": 47.80646514892578}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Campbell"", ""act"": 0.0}, {""tk"": ""s"", ""act"": 0.0}, {""tk"": ""Soup"", ""act"": 0.0}, {""tk"": ""Cans"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Andy"", ""act"": 0.0}, {""tk"": ""Warhol"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""and"", ""act"": 0.0}, {""tk"": ""artworks"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_40780,0,40780,entity: A famous painting is Campbell's Soup Cans, is,6,46.50691604614258,0.6881133413688315,functional,"[{""token"": "" Campbell"", ""index"": 7, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,the,"[{""tk"": ""the"", ""act"": 57.46990203857422}, {""tk"": ""is"", ""act"": 50.4288215637207}, {""tk"": ""and"", ""act"": 49.26454162597656}, {""tk"": ""a"", ""act"": 47.24517059326172}, {""tk"": ""their"", ""act"": 42.35243606567383}, {""tk"": ""of"", ""act"": 39.56308364868164}, {""tk"": ""s"", ""act"": 29.80715560913086}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""Campbell"", ""act"": 0.0}, {""tk"": ""Soup"", ""act"": 0.0}, {""tk"": ""Cans"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Andy"", ""act"": 0.0}, {""tk"": ""Warhol"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""artworks"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}]"
0_95057,0,95057,entity: A famous painting is Campbell's Soup Cans,',8,44.86912536621094,0.6827609576005026,functional,"[{""token"": "" Soup"", ""index"": 10, ""distance"": 2, ""direction"": ""forward""}, {""token"": "" Campbell"", ""index"": 7, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""is"", ""act"": 34.46649932861328}, {""tk"": ""A"", ""act"": 33.18199920654297}, {""tk"": ""the"", ""act"": 32.98480987548828}, {""tk"": ""and"", ""act"": 21.209081649780273}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""Campbell"", ""act"": 0.0}, {""tk"": ""s"", ""act"": 0.0}, {""tk"": ""Soup"", ""act"": 0.0}, {""tk"": ""Cans"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Andy"", ""act"": 0.0}, {""tk"": ""Warhol"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""artworks"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
0_49560,0,49560,entity: A famous painting is Campbell's Soup Cans, is,6,44.0032958984375,0.9090909090909092,functional,"[{""token"": "" Campbell"", ""index"": 7, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 52.47572708129883}, {""tk"": ""A"", ""act"": 0.0}, {""tk"": ""painting"", ""act"": 0.0}, {""tk"": ""Campbell"", ""act"": 0.0}, {""tk"": ""s"", ""act"": 0.0}, {""tk"": ""Soup"", ""act"": 0.0}, {""tk"": ""Cans"", ""act"": 0.0}, {""tk"": ""painter"", ""act"": 0.0}, {""tk"": ""Andy"", ""act"": 0.0}, {""tk"": ""Warhol"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""first"", ""act"": 0.0}, {""tk"": ""name"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""creates"", ""act"": 0.0}, {""tk"": ""paintings"", ""act"": 0.0}, {""tk"": ""and"", ""act"": 0.0}, {""tk"": ""artworks"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""their"", ""act"": 0.0}]"
